latitude,longitude,label
10.5950051,76.9670682,coconut farm
10.5958581,76.9547202,partly coconut farm
10.5958581,76.9677542,partly coconut farm
10.6001231,76.9787302,not coconut farm
10.6031086,76.9643242,partly coconut farm
10.5975641,76.9523192,not coconut farm
10.6022556,76.9684402,partly coconut farm
10.5950051,76.9660392,coconut farm
10.5996966,76.9506042,coconut farm
10.5937256,76.9746142,coconut farm
10.5971376,76.9605512,coconut farm
10.5967111,76.9735852,coconut farm
10.5937256,76.9653532,not coconut farm
10.5958581,76.9687832,partly coconut farm
10.5996966,76.9643242,partly coconut farm
10.5979906,76.9790732,not coconut farm
10.5950051,76.9742712,partly coconut farm
10.5984171,76.9536912,partly coconut farm
10.5988436,76.9728992,partly coconut farm
10.5950051,76.9567782,coconut farm
10.6035351,76.9547202,coconut farm
10.5984171,76.9619232,coconut farm
10.6014026,76.9756432,partly coconut farm
10.5967111,76.9646672,partly coconut farm
10.5941521,76.9557492,coconut farm
10.6018291,76.9578072,coconut farm
10.6035351,76.9653532,coconut farm
10.6009761,76.9626092,not coconut farm
10.6009761,76.9581502,partly coconut farm
10.5979906,76.9619232,partly coconut farm
10.6009761,76.9687832,coconut farm
10.6022556,76.9711842,not coconut farm
10.6022556,76.9732422,coconut farm
10.6005496,76.9735852,partly coconut farm
