latitude,longitude,label
9.680509,77.2818459,partly coconut farm
9.689039,77.2767009,coconut farm
9.678803,77.2574929,coconut farm
9.6834945,77.2674399,partly coconut farm
9.6826415,77.2787589,not coconut farm
9.695863,77.2777299,partly coconut farm
9.69501,77.2818459,not coconut farm
9.6954365,77.2722419,coconut farm
9.697569,77.2791019,not coconut farm
9.685627,77.2808169,not coconut farm
9.694157,77.2595509,not coconut farm
9.685627,77.2797879,not coconut farm
9.6869065,77.2794449,partly coconut farm
9.6775235,77.2667539,not coconut farm
9.6971425,77.2677829,not coconut farm
9.6800825,77.2811599,coconut farm
9.6894655,77.2629809,partly coconut farm
9.679656,77.2760149,not coconut farm
9.698422,77.2835609,not coconut farm
9.689892,77.2808169,not coconut farm
9.698422,77.2825319,not coconut farm
9.683921,77.2677829,not coconut farm
9.696716,77.2688119,not coconut farm
9.6979955,77.2804739,not coconut farm
9.6997015,77.2588649,not coconut farm
9.6860535,77.2664109,coconut farm
9.683921,77.2791019,partly coconut farm
9.692451,77.2684689,coconut farm
9.683068,77.2828749,partly coconut farm
9.6894655,77.2653819,not coconut farm
9.68648,77.2746429,coconut farm
9.691598,77.2592079,partly coconut farm
9.6886125,77.2797879,not coconut farm
9.7022605,77.2588649,not coconut farm
9.690745,77.2664109,not coconut farm
9.689892,77.2633239,not coconut farm
9.692451,77.2794449,partly coconut farm
9.698422,77.2581789,not coconut farm
9.687333,77.2777299,partly coconut farm
9.6937305,77.2691549,partly coconut farm
9.694157,77.2705269,partly coconut farm
9.676244,77.2767009,partly coconut farm
9.684774,77.2646959,coconut farm
9.6920245,77.2718989,coconut farm
9.700128,77.2636669,not coconut farm
9.677097,77.2746429,not coconut farm
9.6869065,77.2770439,partly coconut farm
9.6834945,77.2626379,coconut farm
9.6903185,77.2825319,not coconut farm
9.684774,77.2633239,coconut farm
9.6834945,77.2568069,coconut farm
9.689039,77.2626379,coconut farm
9.6928775,77.2653819,not coconut farm
9.6971425,77.2883629,not coconut farm
9.67795,77.2808169,partly coconut farm
9.6971425,77.2718989,not coconut farm
9.6928775,77.2749859,coconut farm
9.6809355,77.2677829,partly coconut farm
9.688186,77.2784159,not coconut farm
9.6928775,77.2657249,not coconut farm
9.7022605,77.2581789,not coconut farm
9.7022605,77.2592079,not coconut farm
9.6928775,77.2791019,partly coconut farm
9.6800825,77.2708699,partly coconut farm
